anio,codigo_comuna,comuna,sector_modelo,sector_origen,trimestre,codigo_indicador,indicador,valor,archivo_origen
2015,6107,LAS CABRAS,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6108,MACHALÍ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,27233.0,ingresos_educacion(2015).xlsx
2015,6109,MALLOA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6110,MOSTAZAL,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6111,OLIVAR,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6112,PEUMO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6113,PICHIDEGUA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6114,QUINTA DE TILCOCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6115,RENGO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6116,REQUINOA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6117,SAN VICENTE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6201,PICHILEMU,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6202,LA ESTRELLA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6203,LITUECHE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6205,NAVIDAD,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6206,PAREDONES,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6301,SAN FERNANDO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,19159.0,ingresos_educacion(2015).xlsx
2015,6302,CHÉPICA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6303,CHIMBARONGO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6304,LOLOL,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6305,NANCAGUA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6306,PALMILLA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6307,PERALILLO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6308,PLACILLA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6309,PUMANQUE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6310,SANTA CRUZ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,6204,MARCHIHUE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7101,TALCA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7102,CONSTITUCIÓN,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7103,CUREPTO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7104,EMPEDRADO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7105,MAULE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7106,PELARCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7107,PENCAHUE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7108,RÍO CLARO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7109,SAN CLEMENTE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7110,SAN RAFAEL,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7201,CAUQUENES,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7202,CHANCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7203,PELLUHUE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7301,CURICÓ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7302,HUALAÑÉ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7303,LICANTÉN,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7304,MOLINA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7305,RAUCO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7306,ROMERAL,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7307,SAGRADA FAMILIA,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7308,TENO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7309,VICHUQUÉN,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7401,LINARES,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7402,COLBÚN,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7403,LONGAVÍ,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7404,PARRAL,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7405,RETIRO,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7406,SAN JAVIER,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7407,VILLA ALEGRE,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,7408,YERBAS BUENAS,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
2015,8101,CONCEPCIÓN,Educacion,EDUCACION ,4.0,EEE.03.01.000.000.000,Patentes y Tasas por Derechos,0.0,ingresos_educacion(2015).xlsx
