codigo_comuna,total_hogares,porcentaje_computador,porcentaje_internet_fija,porcentaje_internet_movil
5706,5362,41.32786273778441,45.729205520328236,83.6255128683327
5801,59724,60.12490790971804,74.28337016944612,88.04668140111178
5802,19916,51.14480819441655,58.812010443864224,86.02128941554528
5803,7450,46.22818791946309,39.664429530201346,85.66442953020135
5804,50084,63.028112770545484,78.36235124990016,89.6933152304129
6101,92917,55.14276181968854,71.29481149843409,85.67431148229065
6102,4660,47.85407725321888,48.02575107296138,83.71244635193133
6103,2796,44.241773962804004,39.55650929899857,83.40486409155938
6104,7553,41.149212233549584,41.65232358003442,77.25407122997484
6105,7708,46.82148417228853,49.05293201868189,85.18422418266735
6106,12187,49.035857881348974,67.70329039140067,83.46598834823993
6107,9846,38.24903514117408,27.625431647369492,85.60836888076376
6108,20491,68.52764628373433,76.46283734322385,90.17129471475282
6109,4937,40.753494024711365,28.843427182499493,84.48450475997569
6110,9140,48.6870897155361,58.50109409190372,85.1422319474836
6111,4713,51.89900275832803,50.944196902185446,86.63271801400381
6112,4867,44.19560304088761,57.160468461064305,81.13827820012328
6113,7253,38.27381773059424,36.55039294085206,80.76657934647731
6114,4856,43.30724876441516,33.60790774299836,83.73146622734761
6115,22445,47.94386277567387,57.57184228113166,84.78948540877701
6116,9858,49.786975045648205,55.589369040373306,84.80421992290526
6117,17860,45.996640537514,48.163493840985446,83.11310190369541
6201,7752,47.92311661506708,48.10371517027864,85.69401444788441
6202,1814,39.360529217199556,17.03417861080485,86.10804851157663
6203,3410,42.90322580645161,16.979472140762464,87.5366568914956
6204,3307,40.520108859993954,19.98790444511642,81.00997883277896
6205,3678,38.988580750407834,21.016856987493203,80.66884176182708
6206,2857,31.291564578228908,8.295414770738537,75.988799439972
6301,27372,49.94519947391495,62.73198889376005,85.65322227093381
6302,5533,38.080607265497925,27.164287005241277,81.20368696909452
6303,13280,42.55271084337349,40.21084337349398,83.29819277108433
6304,2898,38.612836438923395,17.943409247757074,79.12353347135955
6305,6523,40.88609535489805,45.13260769584547,83.59650467576269
6306,4455,40.11223344556678,41.90796857463524,79.30415263748597
6307,4486,43.86981720909496,38.85421310744538,85.84485064645564
6308,3288,40.14598540145985,36.435523114355234,84.67153284671532
6309,1777,35.002813731007315,6.978052898142938,82.61114237478897
6310,14864,46.871636167922496,47.409849300322925,84.1227125941873
7101,85310,57.36607666158715,68.24522330324699,86.49982417067167
7102,17599,40.15000852321155,35.84294562191034,82.73197340757997
7103,3791,31.46926932207861,17.119493537325244,69.74413083619098
7104,1464,36.885245901639344,8.128415300546447,82.10382513661202
7105,20409,56.32319074917929,63.23190749179284,87.054730756039
7106,3247,38.18909762858023,25.654450261780106,83.03048968278411
7107,3423,39.29301782062518,28.22085889570552,81.41980718667836
7108,5132,36.262665627435695,25.506625097427904,82.56040530007795
7109,16662,38.902892809986795,37.42047773376546,83.23130476533429
7110,3925,42.64968152866242,27.617834394904463,84.17834394904459
7201,16229,38.69616119292624,42.65204263971902,72.99895249245179
7202,3486,33.87837062535858,19.879518072289155,71.85886402753873
7203,3488,35.63646788990826,20.154816513761467,81.93807339449542
7301,57624,54.918089684853534,69.04935443565181,85.57371928363182
7302,4069,38.65814696485623,36.44630130253134,79.06119439665765
7303,2668,42.203898050974516,33.8455772113943,80.99700149925037
7304,17351,45.59391389545271,56.89585614661979,83.50527347126967
7305,4073,41.39454947213356,33.41517309108765,81.09501595875275
7306,6128,45.28394255874674,40.33942558746737,85.68864229765013
7307,6735,41.54417223459539,42.00445434298441,82.44988864142539
7308,10737,40.13225295706436,31.703455341343016,84.99580888516346
7309,1894,37.434002111932415,16.050686378035902,81.5205913410771
7401,35302,48.35420089513342,56.15829131493967,82.60155231998188
7402,8224,39.19017509727627,28.23443579766537,83.97373540856032
7403,12001,33.563869677526874,22.131489042579787,79.66002833097242
7404,17047,41.543966680354316,44.11919985921276,81.59206898574529
7405,8220,34.02676399026764,32.372262773722625,76.64233576642336
7406,18078,41.28775307002987,53.16959840690342,80.00331895121143
7407,6674,39.211866946359,45.69973029667366,79.95205274198382
7408,7105,35.073891625615765,25.39057002111189,82.75862068965517
8101,92197,70.81792249205505,76.7205006670499,90.33048797683222
8102,41939,52.77426738834975,76.43720641884642,82.65814635542097
8103,29395,64.95322333730226,81.92889947269944,88.04898792311617
8104,4956,41.464891041162225,20.278450363196125,81.19451170298629
8105,8824,45.84088848594742,57.060290117860376,83.47688123300091
8106,13835,43.440549331405855,70.32887603903144,79.1832309360318
8107,16858,55.8191956341203,71.59212243445249,86.83710997745877
8108,52351,66.72460888999255,80.55242497755535,90.24087409982617
8109,5603,40.47831518829199,33.71408174192397,81.34927717294306
8110,51086,60.43534432134049,76.14414908194026,87.93798692401049
8111,20751,49.28437183750181,58.604404607006884,82.5357814081249
8112,30684,61.038326163472824,78.42849693651415,88.54451831573459
8201,8825,42.69688385269122,56.97450424929178,78.41359773371104
8202,13212,45.360278534665454,50.02270663033605,82.91704511050561
8203,12568,39.258434118395925,30.856142584341185,80.52991725015913
8204,2290,30.91703056768559,32.05240174672489,75.54585152838428
8205,11133,41.10302703673763,59.031707536153775,79.78083176142998
8206,7997,34.98812054520445,43.241215455795924,81.24296611229211
8207,3609,30.61789969520643,2.493765586034913,77.38985868661679
8301,78739,50.72581566949034,55.29280280420122,85.10903110275721
8302,1723,40.684852002321534,21.938479396401625,82.70458502611724
8303,11393,42.736768190994475,45.06275783375757,80.13692618274379
8304,8565,43.00058377116171,45.615878575598366,77.03444249854057
8305,10169,39.335234536335925,51.12597108860262,78.95564952306027
8306,9234,45.24583062594758,50.617283950617285,79.85705003248863
8307,3762,39.44710260499734,23.95002658160553,84.26368952684741
8308,1731,30.675909878682845,24.494511842865396,77.7007510109763
8309,3584,35.88169642857143,30.41294642857143,75.89285714285714
8310,1323,39.60695389266818,41.57218442932729,77.62660619803476
8311,5218,36.66155615178229,28.037562284400153,78.88079724032197
8312,6182,39.61501132319638,45.66483338725332,77.36978324166937
8313,8894,35.23723858781201,31.4706543737351,74.04992129525523
8314,2030,21.87192118226601,4.778325123152709,57.58620689655173
9101,110729,60.33017547345321,68.63152381038391,87.79000984385301
9102,9095,32.07256734469489,20.5607476635514,73.36998350742167
9103,7332,33.97435897435898,23.24058919803601,77.63229678123295
9104,2907,31.02855177158583,14.413484692122463,79.29136566907464
9105,9724,32.09584533113945,20.197449609214317,73.25174825174825
9106,4516,26.594331266607618,13.441098317094774,73.02922940655448
9107,5587,34.974046894576695,32.62931805978164,77.3581528548416
9108,14825,41.36256323777403,47.642495784148394,78.16526138279933
9109,9576,37.21804511278196,41.23851294903926,76.0547201336675
9110,2632,32.066869300911854,7.256838905775076,80.7370820668693
9111,12117,35.34703309400016,33.11050590080053,72.79854749525461
9112,27719,42.94887982971969,39.80663083083805,83.13791983837801
9113,2742,34.57330415754923,26.914660831509845,78.8110867979577
9114,10272,39.76830218068536,40.040887850467286,79.09852024922118
9115,12565,47.99840827695981,41.24154397134899,86.5658575407879
9116,4930,22.920892494929006,8.397565922920892,70.18255578093306
9117,6051,26.342753263923317,15.567674764501735,73.14493472153363
9118,3860,29.352331606217618,11.580310880829016,74.89637305699482
9119,11237,42.36006051437216,31.645456972501556,80.1993414612441
9120,25214,47.061156500356944,52.47878162925359,82.54541127944792
9121,4553,31.97891500109818,19.371842741049857,75.7742148034263
9201,19276,44.319360863249635,56.21498236148579,81.29279933596182
9202,8814,33.02700249602905,35.772634445200815,76.84365781710915
9203,7109,40.21662681108454,32.22675481783654,80.20818680545787
9204,2789,26.03083542488347,23.19827895302976,62.997490139835065
9205,3774,28.82882882882883,5.193428722840487,77.95442501324854
9206,2720,31.61764705882353,27.72058823529412,75.03676470588235
9207,3404,24.206815511163338,3.90716803760282,73.1198589894242
9208,4518,35.76803895528995,29.061531651173084,78.7295263390881
9209,3837,38.1808704717227,27.65181131091999,81.91295282773
9210,7044,34.79557069846678,36.99602498580352,78.2793867120954
9211,12479,39.81889574485135,49.9959932686914,76.20802948954243
10101,100585,54.3908137396232,61.753740617388274,88.32231446040663
10102,13417,37.646269657896696,27.39062383543266,81.63523887605277
10103,1891,31.729243786356427,7.086197778952935,80.11634056054997
10104,4856,34.040362438220754,33.9168039538715,82.04283360790774
10105,8164,49.020088192062715,57.0921117099461,84.32141107300343
10106,6666,34.533453345334536,25.967596759675963,81.5931593159316
10107,6209,49.46046062167821,61.05653084232565,85.84313093895958
10108,5965,32.84157585917854,15.138306789606034,82.09555741827326
10109,19137,63.68291790771803,68.60531953806762,87.16099702147672
10201,18004,45.828704732281714,43.70695401021995,85.34770051099756
10202,15726,41.212005595828565,35.8514561872059,83.5304591122981
10203,6357,37.423312883435585,20.733050180902943,84.58392323422999
10204,1423,39.28320449754041,15.600843288826423,76.9501054111033
10205,5615,37.773820124666074,21.246660730187,82.93855743544079
10206,1558,37.291399229781774,11.810012836970476,79.13992297817714
10207,2241,34.31503792949576,17.8491744756805,77.46541722445338
10208,10904,36.08767424798239,30.218268525311814,83.5564930300807
10209,3376,32.612559241706165,14.010663507109006,76.98459715639811
10210,3016,34.8474801061008,14.688328912466844,76.95623342175067
10301,62744,50.69966849419865,60.19858472523269,85.41533851842408
10302,3354,35.86762075134168,22.271914132379248,83.09481216457961
10303,7312,39.53774617067834,45.199671772428886,80.0191466083151
10304,4409,37.128600589702884,22.363347697890678,85.80176910864141
10305,5277,36.327458783399656,29.14534773545575,80.10233086981239
10306,3343,19.623093030212384,2.422973377206102,70.08674842955429
10307,4195,35.041716328963055,29.463647199046484,79.8092967818832
10401,1681,38.48899464604402,25.223081499107675,84.83045806067817
10402,1337,51.00972326103216,38.29468960359013,85.71428571428571
10403,3713,35.79315917048209,15.136008618367896,83.4096417990843
10404,869,43.843498273878026,31.41542002301496,73.87802071346375
11101,22543,54.29179789735172,53.284833429445946,85.54318413698266
11102,376,27.393617021276594,10.638297872340425,68.88297872340425
11201,9126,48.202936664475125,47.08525093140478,81.29520052596976
11202,2183,44.89234997709574,42.78515803939533,78.97388914338067
11203,609,42.69293924466338,14.449917898193759,87.35632183908046
11301,1469,50.170183798502386,38.121170864533696,79.37372362151123
11302,292,55.13698630136986,11.643835616438356,79.1095890410959
11303,234,51.28205128205128,8.11965811965812,93.58974358974359
11401,2114,47.44560075685904,40.63386944181646,78.05108798486282
11402,1239,43.583535108958834,25.585149313962873,83.7772397094431
12101,49779,61.06792020731634,76.00594628256896,88.51724622832921
12102,101,33.663366336633665,4.9504950495049505,74.25742574257426
12103,63,22.22222222222222,14.285714285714285,90.47619047619048
12104,113,33.6283185840708,15.929203539823009,82.30088495575221
12201,622,75.72347266881029,43.08681672025724,91.47909967845659
12202,4,0.0,0.0,0.0
12301,2781,49.83818770226537,65.87558432218627,87.77418194893923
12302,181,43.646408839779006,21.54696132596685,90.60773480662984
12303,63,55.55555555555556,14.285714285714285,80.95238095238095
12401,9536,54.58263422818792,72.0113255033557,83.79823825503355
12402,101,50.495049504950494,19.801980198019802,79.20792079207921
13101,208348,64.79831819839883,68.51181676809952,91.79449766736421
13102,28279,51.06969836274266,67.2689981965416,87.67990381555218
13103,42018,41.31562663620353,64.5413870246085,82.07910895330572
13104,40890,50.69699192956713,69.89239422841771,86.23135240890193
13105,50477,47.88517542643184,70.79263823127366,85.11005012183766
13106,68183,47.10851678570905,71.47382778698503,87.20648842086737
13107,32057,66.23514365037278,77.8020401160433,88.68265901363198
