codigo_comuna,poblacion_total,promedio_edad,porcentaje_menores_15,porcentaje_adultos_mayores,porcentaje_discapacidad,promedio_escolaridad,porcentaje_alfabetizacion
5701,80413,37.58652207976322,18.633802992053525,13.938044843495453,11.949544904508864,10.135947728780463,95.76470898008084
5702,13760,39.653561046511626,17.768895348837212,16.656976744186046,12.873931623931622,9.074374133274944,94.41729036199786
5703,25484,38.34009574635065,19.549521268246743,15.19384711976142,12.688145291702948,9.352264671130365,94.43315219645746
5704,7269,38.78759114045948,18.06300729123676,15.146512587701197,10.044869011434361,9.2828073089701,95.03186558516802
5705,17336,40.230733733271805,17.60498384863867,17.60498384863867,13.89291757312062,9.67851129303838,94.7683923705722
5706,15134,39.422029866525705,17.92652306065812,16.294436368441918,12.233895493502903,9.431857351186531,95.06087437742114
5801,162559,40.429216469097376,15.660160311025537,17.6643557108496,11.121209191401592,11.244195719110051,97.02633430819986
5802,56145,38.775509840591326,18.347136877727312,15.753851634161546,12.266269174890091,10.297020618185744,96.11780708051536
5803,19778,41.002932551319645,16.87733845687127,19.40539993932652,12.578616352201259,10.001580100922576,94.88342314464066
5804,139571,38.781630854547146,17.531578909658883,15.584182960643686,10.288010111953774,11.039027027027027,96.93554705155634
6101,257744,37.80010009932336,17.76258613197591,13.914193928859644,12.002680154599162,10.47099808735704,96.00683654443753
6102,13955,38.71157291293443,18.022214260121817,14.43210318882121,12.21879467308705,9.341195081613575,94.66315393300715
6103,7916,40.55823648307226,16.839312784234462,18.279434057604853,13.362643218758327,9.264462809917354,95.20127965875767
6104,21373,39.118280072989286,18.092920975061993,16.123146025359098,14.301181102362204,8.951065027681336,94.24014178112539
6105,21925,38.41842645381984,18.535917901938426,15.14709236031927,12.70550908566484,9.674274714698198,95.92131210619979
6106,35938,36.35694807724414,19.842506539039455,12.176526239634928,10.18622524386639,9.733660313901344,95.09079079671142
6107,27554,39.61265152065036,17.899397546635697,16.21180227916092,12.852173248212853,8.91909997815481,93.74856530721554
6108,60875,36.22168377823409,21.04476386036961,11.030800821355236,9.03885978803752,11.04568477505214,96.16777518543024
6109,13882,40.56526437112808,16.913989338712003,17.49027517648754,13.467374810318663,8.97728419989904,93.97434924489642
6110,27394,38.11973424837556,18.719427611885813,14.455720230707453,12.2030112826832,9.376390922401171,94.22165722870682
6111,13901,38.80116538378534,17.82605567944752,14.970146032659521,11.47751282825234,9.685211876621505,95.12913457181695
6112,14243,40.045706662922136,17.082075405462334,16.56954293337078,14.706099269857658,9.146674166783855,93.46463081802759
6113,20363,40.915778618081816,16.98178068064627,18.238962824731132,13.973980200072564,8.72105392760404,93.33575355253605
6114,13558,40.11070954418056,16.838766779761027,16.278212125682252,15.039925575626018,9.14959757808462,93.52612808187317
6115,63620,37.57617101540396,19.181075133605784,13.825840930524993,12.07180528058296,9.467272755970138,94.69645264927671
6116,29508,37.74945777416294,19.0456825267724,13.142198725769283,10.497336336658442,9.430274419236516,94.57835634074816
6117,49559,40.36614943804354,17.121007284247057,17.2158437418027,13.918924649111647,9.54614107547781,94.75101798439091
6201,19847,39.888295460271074,17.962412455282912,16.445810449942055,12.684491978609625,10.08833562445904,94.6627408993576
6202,4609,,,,14.068871771635704,9.119860778768762,94.15909090909092
6203,8852,41.10528694080434,17.431089019430637,18.94487121554451,15.351660121385219,9.191431485889153,93.918114734587
6204,8715,42.04211130235227,15.91508892713712,19.093516924842227,15.776173285198555,8.913013462202278,93.36059658407505
6205,8885,42.91828925154755,16.510973550928533,22.082160945413616,12.986553432413306,9.524320054169959,93.52135945244277
6206,7228,44.0016602102933,14.955727725511897,21.914775871610402,17.474048442906575,8.315950069348128,88.8648492715996
6301,75585,38.42664549844546,18.73255275517629,14.786002513726269,13.560556201251872,9.949076232467066,95.37832196242698
6302,15668,41.120181261169265,16.37094715343375,18.483533316313505,13.469088973181606,8.692435471505238,92.58025842546957
6303,37258,39.314482795641204,17.706264426431908,15.220892157389018,14.902071297731437,8.94088378472876,93.95118101358588
