codigo_comuna,total_viviendas,promedio_personas_vivienda,porcentaje_hacinamiento,porcentaje_agua_red,porcentaje_saneamiento,porcentaje_electricidad
6102,5182,2.692975685063682,4.341952913932844,80.33577769201081,42.030104206869936,87.28290235430336
6103,3386,2.3378617838157116,4.48907265209687,71.0277613703485,22.47489663319551,78.9722386296515
6104,8586,2.4892848823666434,4.880037269974377,80.13044491031913,43.233170277195434,85.09201024924296
6105,8384,2.6151001908396947,5.009541984732825,85.12643129770993,53.49475190839694,89.38454198473282
6106,13041,2.7557702630166396,5.314009661835748,85.24653017406641,79.57978682616364,89.33364005827774
6107,14775,1.864906937394247,4.081218274111675,58.72758037225042,26.44331641285956,64.16243654822334
6108,22688,2.683136459802539,2.9531029619181948,86.0719322990127,80.53155853314527,88.0333215796897
6109,5741,2.4180456366486673,4.6507577077164255,79.56801950879637,36.19578470649712,82.16338616965685
6110,10162,2.6957291871678803,5.874827789805156,75.23125369021845,53.30643574099587,85.01279275733124
6111,5250,2.647809523809524,4.571428571428571,87.27619047619048,45.54285714285714,87.54285714285714
6112,5305,2.6848256361922713,5.372290292177191,86.25824693685202,58.79359095193214,89.18001885014138
6113,7994,2.5472854640980738,5.391543657743307,86.28971728796597,41.49362021516137,87.4405804353265
6114,5254,2.5805100875523412,4.929577464788732,87.55234107346783,41.45413018652455,88.67529501332318
6115,25231,2.5215013277317584,4.934406087749197,84.33672862748206,66.51737941421267,85.71202092663786
6116,10515,2.806276747503566,5.249643366619115,89.80504041844983,50.87018544935806,90.74655254398478
6117,19297,2.568223039850754,4.653573094263357,86.13774161786806,43.33316059491112,88.6303570503187
6201,15015,1.3218115218115218,2.2111222111222113,43.663003663003664,27.845487845487842,49.2041292041292
6202,3678,1.253126699293094,2.5013594344752583,30.179445350734095,17.8357803153888,41.1636759108211
6203,5461,1.6209485442226699,3.4242812671671854,37.24592565464201,27.174510162973814,54.44057864859916
6204,5071,1.7185959376848747,3.4312758824689413,50.20705975152829,22.204693354367976,59.53460855846973
6205,6601,1.3460081805787,2.590516588395698,41.4179669747008,3.2873806998939554,53.037418572943494
6206,5686,1.2711924023918395,2.075272599366866,37.53077734787197,16.18009145269082,45.32184312346113
6301,31482,2.4008957499523538,4.3548694492090725,82.92039895813481,67.22571628232006,84.49272600215997
6302,5963,2.627536474928727,4.913634076806976,85.54418916652692,41.70719436525239,89.38453798423612
6303,14250,2.6145964912280704,5.2561403508771924,86.84912280701754,39.578947368421055,90.39298245614034
6304,3719,2.0949179887066416,4.51734337187416,63.91503092229094,25.67894595321323,75.04705566012369
6305,7112,2.6325928008998876,5.525871766029247,85.50337457817773,49.01574803149607,87.5562429696288
6306,5132,2.5448168355416994,4.890880748246298,81.858924395947,33.37879968823071,83.98285268901013
6307,5159,2.4215933320410934,4.400077534405892,74.56871486722233,42.198100407055634,83.69839116107772
6308,3759,2.5107741420590584,4.735301942005853,79.86166533652566,18.94120776802341,84.96940675711625
6309,2567,1.7760031164783794,2.571094663030775,48.77288663809895,20.958317101675107,60.42072458122322
6310,16477,2.501001395885173,4.345451235054925,84.12332342052558,54.3363476360988,86.78764338168355
7101,95719,2.425129807039355,3.904136064940085,84.12749819784996,82.26684357337624,86.09471473793081
7102,23445,2.004862444017914,3.676690125826402,63.35679249306888,58.362124120281514,73.01343570057581
7103,5199,1.830929024812464,3.250625120215426,52.26005000961723,26.408924793229467,70.62896710905943
7104,1892,2.1088794926004226,3.8054968287526427,49.2600422832981,48.731501057082454,74.78858350951374
7105,23298,2.6217271868829943,5.742982230234355,80.42321229290069,70.6283801184651,85.98162932440553
7106,4073,2.265897372943776,4.517554628038301,63.908666830346185,33.34151730910877,77.24036336852443
7107,4682,1.960914139256728,3.289192652712516,50.170867150790265,36.3947031183255,70.65356685177274
7108,6279,2.273610447523491,4.698200350374263,69.7244784201306,37.25115464245899,79.15273132664437
7109,22312,2.1235209752599498,4.67013266403729,66.4978486912872,40.475977052707066,72.47221226245966
7110,4788,2.345446950710109,4.970760233918129,61.131996658312445,46.88805346700084,79.99164578111947
7201,20267,2.1117086890018255,4.317363201263137,65.63378891794542,64.75551388957419,77.67799871712636
7202,4442,2.126519585772175,4.299864925709141,40.11706438541198,37.34804142278253,75.9792886087348
7203,7743,1.1078393387575876,1.8339145034224462,26.95337724396229,20.250548882861942,43.342373756941754
7301,62496,2.559651817716334,4.621095750128008,85.72708653353814,82.51568100358423,88.93369175627241
7302,5199,2.072513944989421,3.654548951721485,65.93575687632237,40.54625889594153,74.97595691479131
7303,4500,1.5315555555555556,3.0666666666666664,45.53333333333333,27.111111111111114,56.95555555555556
7304,19017,2.5739601409265394,5.905242677604249,83.35173791870432,67.10837671557029,88.24735762738602
7305,4784,2.354933110367893,4.974916387959866,71.80183946488295,52.21571906354515,82.14882943143813
7306,7245,2.3786059351276743,5.0103519668737055,75.65217391304347,44.982746721877156,81.40786749482402
7307,7533,2.578919421213328,5.30996946767556,80.81773529802203,45.692287269348206,87.3224478959246
7308,12501,2.4088472922166226,5.03959683225342,73.97008239340853,41.92464602831774,82.71338292936565
7309,4422,1.0664857530529173,1.8091361374943467,24.151967435549526,14.405246494798735,40.909090909090914
7401,41546,2.3285996245125884,4.229047321041737,76.96288451355124,65.23130987339336,82.77331151013335
7402,10583,2.1389965038268923,4.469432108097893,71.397524331475,31.72068411603515,75.75356704148162
7403,14137,2.3554502369668247,5.623541062460211,72.73820471104194,21.348235127679143,81.71464950130863
7404,20794,2.1796191209002598,4.3858805424641725,70.56843320188516,58.01673559680677,80.02789266134462
7405,10150,2.1980295566502464,4.571428571428571,63.22167487684729,32.98522167487685,79.2512315270936
7406,22246,2.227771284725344,4.994156252809494,68.56513530522341,62.93266205160478,79.44349545985794
7407,8164,2.1948799608035277,4.740323370896619,70.21068103870651,56.96962273395394,80.328270455659
7408,8096,2.474678853754941,5.58300395256917,79.4342885375494,26.358695652173914,84.7949604743083
8101,101617,2.267091136325615,3.121524941692827,84.92083017605322,82.99103496462206,86.23557081984313
8102,45781,2.7008584347218276,4.912518293615255,87.24798497193159,84.82558266529783,89.66165002948821
8103,30674,2.7978744213340287,3.4882962769772443,93.62000391210798,92.54091412922996,93.78300841103214
8104,6748,1.9202726733847066,3.764078245406046,28.48251333728512,29.342027267338473,70.62833432128038
8105,10881,2.3706460803234997,4.466501240694789,67.78788714272585,56.42863707379836,78.79790460435622
8106,15994,2.4996873827685384,5.495810929098412,81.79317243966487,76.2348380642741,83.4813054895586
8107,17587,2.7844999147097287,4.872917495877637,91.34588047989992,89.46949451299255,93.42127707966111
8108,56920,2.6527055516514406,4.116303583977513,89.57132817990163,88.4803232607168,90.32501756851723
8109,7532,1.9844662772172066,4.02283590015932,48.65905469994689,50.4381306425916,71.93308550185874
8110,53938,2.731321146501539,4.436575327227557,91.20471652638214,87.20011865475176,91.22881827283177
8111,25130,2.2645045762037403,3.720652606446478,72.28014325507361,59.434938320732186,79.90847592518901
8112,32364,2.710758867877889,4.230008651588184,91.63267828451366,90.89420343591645,91.66357681374366
8201,10277,2.456553468911161,4.193830884499367,73.41636664396225,70.58480101196848,81.9597158703902
8202,15190,2.446543778801843,4.233048057932851,67.99868334430546,62.51481237656353,84.00921658986175
8203,14535,2.383212934296526,4.141726866185071,57.80529755761954,43.990368077055386,83.48813209494324
8204,2992,1.973596256684492,2.7740641711229945,48.69652406417112,41.9451871657754,72.25935828877004
8205,13235,2.3512655836796372,3.959199093313185,76.4563656970155,66.4450321118247,79.92444276539479
8206,9317,2.3559085542556617,4.035633787699903,73.37125684233122,52.516904583020285,81.9147794354406
8207,4896,2.084967320261438,4.7181372549019605,34.72222222222222,22.263071895424837,71.05800653594771
8301,93310,2.351741506805273,3.9717072125174147,67.12785339191942,59.37734433608403,82.20233629836031
8302,2672,1.6366017964071857,2.657185628742515,52.43263473053892,31.062874251497007,62.05089820359282
8303,13272,2.355033152501507,3.8276069921639544,66.83996383363471,59.80259192284508,83.98884870403857
8304,10091,2.3492220790803686,4.082846100485582,64.2850064413834,55.62382320879992,82.65781389356852
8305,11593,2.5046148537910806,5.020270853101009,69.39532476494436,65.57405330803071,84.87018028120417
8306,11089,2.3572910091081254,4.112183244656867,69.84398953918297,66.73279826855443,80.56632699071152
8307,4421,2.425469350825605,4.139334992083239,62.72336575435422,48.04342908844153,82.53788735580186
8308,2452,1.8107667210440457,3.181076672104405,49.95921696574225,43.882544861337685,67.82218597063621
8309,4502,2.154597956463794,3.7760995113282987,59.462461128387375,44.86894713460684,76.98800533096401
8310,1867,1.9148366363149438,2.7316550615961437,53.82967327262988,51.36582753079807,68.2913765399036
8311,6395,2.200938232994527,4.39405785770133,64.51915559030492,47.2243940578577,79.20250195465208
8312,7795,2.01783194355356,2.989095574085953,68.65939704939063,58.05003207184093,77.85760102629891
8313,14112,1.6418650793650793,2.5581065759637185,42.61621315192744,37.6062925170068,61.03316326530612
8314,2776,2.1671469740634004,8.861671469740633,28.061959654178676,19.128242074927954,62.53602305475504
9101,129228,2.263580648156746,3.7027579162410627,80.71934874794935,77.0823660507011,83.57012412170737
9102,11658,2.14076170869789,4.057299708354778,57.805798593240695,40.93326471092812,73.77766340710242
9103,10541,1.819277108433735,3.4342092780571107,51.655440660278906,35.87894886633147,66.89118679442178
9104,4432,1.7448104693140793,4.625451263537906,21.660649819494584,16.94494584837545,61.981046931407946
9105,12597,2.07700246090339,4.024767801857585,42.152893546082396,25.37905850599349,73.03326188775105
9106,5476,2.3210372534696857,5.788897005113221,33.29072315558802,34.82468955441929,76.13221329437546
9107,6702,2.11101163831692,3.3721277230677407,61.99641897940913,56.80393912264996,80.99074903014025
9108,18221,2.301520223917458,4.59360079029691,66.76362438944075,58.03194116678557,78.48087371713956
9109,12378,2.0324769752787204,3.9020843431895296,58.272741961544675,48.069154952334785,74.74551623848764
9110,3614,1.8804648588821251,4.122855561704482,47.09463198671832,30.90758162700609,69.12008854454898
9111,14842,2.289987872254413,5.039752054979113,67.22813636976149,43.188249562053635,78.3721870367875
9112,32157,2.5081941723419474,5.725036539478185,67.45343160120657,51.21435457287682,83.50592406008023
9113,3345,2.2236173393124066,4.633781763826607,61.614349775784746,47.294469357249625,77.96711509715995
9114,13114,2.0619948147018454,3.934726246759189,65.4338874485283,49.50434649992375,75.47658990391947
9115,28773,1.1233100476140827,2.2972926007020473,28.80130678066243,18.545163868904876,41.71271678309526
9116,6757,1.9057273938138226,4.632233239603374,40.19535296729318,22.066005623797544,64.08169305904987
9117,8008,1.952922077922078,4.4705294705294705,49.163336663336665,24.937562437562438,72.27772227772228
9118,4954,2.0268469923294306,4.198627371820751,47.21437222446508,28.623334679047236,73.98062171982237
9119,13928,2.2670160827110855,5.083285468121769,59.59936817920736,48.772257323377374,77.6852383687536
9120,43272,1.5653771491957849,3.3347199112590125,37.78424847476428,30.95535219079312,56.341283046773896
9121,5272,2.4975341426403643,6.0887708649468895,66.80576631259484,30.273141122913504,81.01289833080425
9201,22141,2.3947427848787317,4.110022130888398,79.37762522017977,77.23228399801275,84.45869653583848
9202,10504,2.3136900228484385,4.15079969535415,69.31645087585682,60.25323686214775,79.53160700685453
9203,9923,1.8679834727400988,3.738788672780409,55.24538949914341,49.128287816184624,69.32379320769928
9204,3784,2.042811839323467,6.316067653276955,45.32241014799154,40.063424947145876,66.56976744186046
9205,5662,1.809784528435182,5.84599081596609,33.256799717414346,34.82868244436595,62.16884493111975
9206,3373,2.1784761340053365,4.328490957604506,50.10376519418915,50.63741476430478,75.30388378298251
9207,4217,2.194213896134693,5.809817405738676,41.19041972966564,39.17476879298079,72.87170974626511
9208,5301,2.2984342576872288,4.697226938313525,63.8558762497642,57.47972080739483,81.66383701188455
9209,4519,2.3646824518698826,4.868333702146493,68.40008851515822,64.88161097587962,82.4297410931622
9210,8389,2.249731791631899,4.68470616283228,65.03754917153415,63.082608177375135,80.47443080224103
9211,14463,2.3829081103505496,5.296273248980157,66.0443891308857,67.51019843739196,83.26073428749223
10101,116425,2.3795576551427957,4.200128838307923,78.37749624221601,69.60618423878033,83.91410779471762
