anio,codigo_comuna,nombre_comuna,codigo_region,nombre_region,poblacion_total,ingresos_municipales,ingresos_educacion,ingresos_salud,promedio_escolaridad,porcentaje_alfabetizacion,porcentaje_agua_red,porcentaje_saneamiento,porcentaje_electricidad,porcentaje_hacinamiento,promedio_personas_vivienda,porcentaje_computador,porcentaje_internet_fija,porcentaje_internet_movil,ingresos_municipales_pc,ingresos_educacion_pc,ingresos_salud_pc,ingresos_municipales_pc_norm,ingresos_educacion_pc_norm,ingresos_salud_pc_norm,promedio_escolaridad_norm,porcentaje_alfabetizacion_norm,porcentaje_agua_red_norm,porcentaje_saneamiento_norm,porcentaje_electricidad_norm,porcentaje_computador_norm,porcentaje_internet_fija_norm,porcentaje_internet_movil_norm,porcentaje_hacinamiento_inv,porcentaje_hacinamiento_norm,promedio_personas_vivienda_inv,promedio_personas_vivienda_norm,score_economico,score_capital_humano,score_infraestructura,score_habitabilidad,score_conectividad,iidc,ranking_iidc,percentil_iidc,categoria_iidc
2025,3202,DIEGO DE ALMAGRO,3,Atacama,11397,7667286.0,0.0,2559805.0,9.9,96.22,51.74,51.29,58.72,3.05,1.67,50.79,34.93,89.92,672.7459857857331,0.0,224.60340440466788,2.021870783420704,0.0,4.559821673667977,47.745664739884404,82.01267828843109,53.075050280512336,54.05143656515657,60.79072219293622,53.64915233858362,35.94306049822064,92.26065688329841,10.260000000000002,77.08489857250188,1.62,55.2901023890785,2.193897485696227,64.87917151415775,55.97240301286838,66.18750048079019,60.61762324003422,49.97011914670935,110,68.40579710144927,Bajo
2025,3301,VALLENAR,3,Atacama,54222,17302722.0,0.0,10693582.0,9.67,95.35,66.2,62.65,70.59,4.37,2.3,44.58,55.42,83.71,319.1088856921545,0.0,197.21850909225037,0.9590498439873218,0.0,4.0038628737216,45.08670520231214,75.11885895404117,68.38149677146184,66.27569138060906,73.30521876647339,46.182517734760125,58.03946942736978,81.4116002795248,8.940000000000001,67.16754320060106,0.9900000000000002,33.78839590443686,1.6543042392363072,60.10278207817666,69.32080230618142,50.47796955251896,61.87786248055156,48.686744131332986,141,59.42028985507246,Bajo
2025,3302,ALTO DEL CARMEN,3,Atacama,4788,4019693.0,0.0,2403144.0,8.64,92.28,50.47,7.71,55.72,2.62,1.51,29.66,4.42,78.36,839.5348788638262,0.0,501.90977443609023,2.5231381221173654,0.0,10.189600971390824,33.1791907514451,50.792393026941376,51.73070816132105,7.155923813623158,57.627833421191355,28.243356979680172,3.041087026852151,72.06498951781971,10.690000000000001,80.31555221637868,1.78,60.750853242320815,4.237579697836064,41.98579188919324,38.83815513204519,70.53320272934974,34.44981117478401,38.00890812464165,325,6.086956521739131,Bajo
2025,3303,FREIRINA,3,Atacama,7577,4680073.0,0.0,3186977.0,9.0,94.21,46.84,37.95,53.98,3.43,1.72,39.29,10.31,85.96,617.6683383925036,0.0,420.6119836346839,1.856340422130097,0.0,8.53912096419698,37.34104046242775,66.08557844690964,47.888218482057795,39.69654578715162,55.79335793357934,39.82205122039196,9.392860994284483,85.3424178895877,9.88,74.22990232907588,1.57,53.58361774744027,3.4651537954423595,51.71330945466869,47.79270740092958,63.90676003825808,44.852443368088046,42.34607481147735,285,17.681159420289855,Bajo
2025,3304,HUASCO,3,Atacama,9369,7915956.0,0.0,1982109.0,9.74,95.32,37.12,34.82,40.67,2.47,1.27,39.59,23.06,87.25,844.9093820044828,0.0,211.56035862952288,2.539290653838242,0.0,4.2950262090854565,45.89595375722544,74.88114104595877,37.59923785328675,36.32841924028839,41.76067474960464,40.182758206083925,23.142456594413886,87.59608665269043,10.84,81.44252441773102,2.02,68.9419795221843,2.278105620974566,60.388547401592106,38.56277728105993,75.19225196995765,50.30710048439608,45.34575655159607,218,37.10144927536232,Bajo
2025,4101,LA SERENA,4,Coquimbo,250141,108682991.0,0.0,45900469.0,10.91,96.68,70.68,67.51,74.08,2.99,2.28,61.63,70.83,88.04,434.4869133808532,0.0,183.4983829120376,1.3058069680153848,0.0,3.725321553798965,59.42196531791908,85.65768621236141,73.12374298719172,71.50543419778329,76.9847127042699,66.68269808825298,74.65760810956542,88.97624039133476,10.32,77.53568745304283,1.0100000000000002,34.470989761092156,1.6770428406047833,72.53982576514025,73.8712966297483,56.00333860706749,76.77218219638438,56.17273720778904,36,89.85507246376811,Medio
2025,4102,COQUIMBO,4,Coquimbo,263719,64849216.0,0.0,49877807.0,10.37,96.27,71.11,66.88,75.44,3.74,2.33,54.04,68.54,87.49,245.9027070480322,0.0,189.13239849991848,0.7390359949361746,0.0,3.8397014157404903,53.179190751445084,82.40887480190175,73.57891394093363,70.82750457333476,78.41855561412757,57.556811350246484,72.18807289981667,88.01537386443047,9.57,71.900826446281,0.96,32.76450511945392,1.5262458035588882,67.79403277667342,74.274991376132,52.332665782867466,72.58675270483121,53.7029376888126,54,84.63768115942028,Medio
2025,4103,ANDACOLLO,4,Coquimbo,11566,7516016.0,0.0,0.0,9.27,95.31,64.24,53.87,71.63,2.98,2.26,44.33,22.5,83.35,649.837108767076,0.0,0.0,1.9530204445057826,0.0,0.0,40.46242774566473,74.8019017432647,66.30676405208001,56.82771978908856,74.4016868740116,45.881928580016826,22.538552787663104,80.78266946191475,10.33,77.61081893313299,1.0300000000000002,35.153583617747444,0.6510068148352609,57.63216474446472,65.84539023839339,56.38220127544022,49.73438360986489,46.0490293365997,206,40.57971014492754,Bajo
2025,4104,LA HIGUERA,4,Coquimbo,4335,6770940.0,2589184.0,2701635.0,8.3,92.08,38.61,24.08,39.42,2.86,1.35,29.77,12.55,83.39,1561.9238754325258,597.2742791234141,623.2145328719723,4.694206009978448,31.112260796725895,12.652288783719895,29.24855491329481,49.207606973058624,39.176458134857626,24.771333261594748,40.44280442804428,28.375616207767223,11.80847622128761,80.85255066387143,10.450000000000001,78.51239669421489,1.94,66.21160409556313,16.152918530141413,39.22808094317672,34.79686527483222,72.36200039488901,40.34554769764208,40.57708256813629,307,11.304347826086957,Bajo
2025,4105,PAIGUANO,4,Coquimbo,4649,5684676.0,2356609.0,1940267.0,9.84,96.1,54.35,23.14,58.7,3.11,1.61,39.52,9.68,89.73,1222.773929877393,506.90664659066465,417.35147343514734,3.674924764746248,26.404973961826634,8.472927198726374,47.05202312138728,81.06180665610141,55.83783211601566,23.75981921876682,60.76963626779125,40.098593242755804,8.713469211689851,91.92872117400421,10.200000000000001,76.63410969196094,1.68,57.33788395904437,12.850941975099753,64.05691488874434,46.78909586752457,66.98599682550265,46.91359454281662,47.51930881993759,178,48.69565217391305,Bajo
2025,4106,VICUÑA,4,Coquimbo,28047,17403177.0,5998808.0,5200626.0,9.48,95.67,74.15,55.37,76.6,3.97,2.33,41.52,39.55,82.26,620.5004813349021,213.8841230791172,185.42539309017008,1.8648521445196682,11.14131120342706,3.7644430568719813,42.89017341040463,77.6545166402536,76.7968667301789,58.44183794253739,79.64153927253558,42.50330648070218,40.92526690391459,78.8784067085954,9.34,70.17280240420736,0.96,32.76450511945392,5.59020213493957,60.272345025329116,71.62674798175063,51.46865376183064,54.102326697737396,48.61205512031747,144,58.550724637681164,Bajo
2025,4201,ILLAPEL,4,Coquimbo,32009,12297357.0,15666420.0,8642457.0,9.38,94.7,68.89,56.72,76.77,3.63,2.25,46.15,43.85,80.76,384.18435440032493,489.437970570777,270.00084351276206,1.1546276574242702,25.49502350338415,5.481464991242765,41.734104046242784,69.96830427892239,71.22896157510321,59.89454428064135,79.82076963626778,48.07021762654803,45.56238542003667,76.25786163522015,9.68,72.72727272727272,1.04,35.49488054607509,10.710372050683729,55.85120416258259,70.31475849733745,54.1110766366739,56.63015489393496,49.52351324824252,123,64.6376811594203,Bajo
2025,4202,CANELA,4,Coquimbo,9639,6241750.0,5542461.0,3941801.0,8.16,92.21,37.67,17.86,56.03,2.44,1.67,28.05,13.05,76.03,647.5516132378878,575.0037348272642,408.94294013901856,1.9461516162500372,29.952179061339994,8.302220025034709,27.630057803468212,50.23771790808236,38.18143325923574,18.078123318626925,57.95466526093832,26.307562823133345,12.347676048743665,67.99440950384349,10.870000000000001,81.66791885800151,1.62,55.2901023890785,13.40018356754158,38.93388785577528,38.07140727960033,68.47901062354,35.54988279190683,38.88687442367281,321,7.246376811594203,Bajo
